Quality_Score,Species,Owner,Country of Origin,Company,Altitude,Region,Producer,Number of Bags,In-Country Partner,Harvest Year,Grading Date,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Color,Category Two Defects,Certification Body,date_diff
82.25,Arabica,Ipanema Coffees,Brazil,Ipanema Coffees,1,South of Minas Gerais,Ipanema Agrícola SA,180,Brazil Specialty Coffee Association,2015-01-01 00:00:00,2015-10-08,Yellow Bourbon,Completed,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10.0,10.0,10.0,7.67,Sample  82.25,0%,0 full defects,Green,9 full defects,Brazil Specialty Coffee Association,365
82.25,Arabica,Consejo Salvadoreño del Café,El Salvador,Consejo Salvadoreño del Café,1500,Apaneca-Ilamatepec,"Tropical Farm Management El Salvador, S.A. de C.V.",275,Salvadoran Coffee Council,2014-01-01 00:00:00,2015-07-08,Bourbon,Completed,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,Sample  82.25,12%,0 full defects,Green,0 full defects,Salvadoran Coffee Council,365
82.25,Arabica,CADEXSA,Honduras,CADEXSA,1350,Marcala,Omar Acosta,275,Instituto Hondureño del Café,2015-01-01 00:00:00,2015-04-15,Catuai,Completed,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10.0,10.0,10.0,7.33,Sample  82.25,11%,0 full defects,Green,2 full defects,Instituto Hondureño del Café,365
82.25,Arabica,AFCA,Malawi,Mzuzu Coffee Planters Coop Union,1180M,South of Mzuzu,Mzuzu Coffee Coop Union,10,Africa Fine Coffee Association,2014-01-01 00:00:00,2014-11-04,Gesha,Completed,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10.0,10.0,10.0,7.42,Sample  82.25,13%,0 full defects,Blue-Green,0 full defects,Africa Fine Coffee Association,365
82.25,Arabica,Ipanema Coffees,Brazil,Ipanema Coffees,1100,South Minas Gerais,Ipanema Agrícola SA,320,Specialty Coffee Association,2014-01-01 00:00:00,2014-10-16,Bourbon,Completed,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,Sample  82.25,11%,0 full defects,Green,0 full defects,Specialty Coffee Association,365
82.25,Arabica,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,Blossom Valley宸嶧國際,650 M,Nantou Guoxing 南投縣國姓鄉,Lin yu tang 林玉堂,35,Blossom Valley International,2013-01-01 00:00:00,2013-12-26,Typica,Completed,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.25,Sample  82.25,11%,0 full defects,Green,0 full defects,Blossom Valley International,365
82.25,Arabica,JESUS CARLOS CARDENAS VALDIVIA,Mexico,N/A,1338,"COSAUTLAN DE CARVAJAL, VER.",MARIA DEL ROSARIO IRAIS VALDIVIA ORTIZ,150,AMECAFE,2013-01-01 00:00:00,2013-07-19,Mundo Novo,Completed,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10.0,10.0,10.0,7.42,Sample  82.25,12%,0 full defects,Blue-Green,4 full defects,AMECAFE,365
82.25,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Cooperative,N/A,KONA,N/A,6,Specialty Coffee Association,2013-01-01 00:00:00,2013-05-03,Hawaiian Kona,Completed,Natural / Dry,7.33,7.42,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.42,Sample  82.25,0%,0 full defects,Bluish-Green,1 full defects,Specialty Coffee Association,365
82.25,Arabica,SAUL M. HERNANDEZ RAMIREZ,Mexico,N/A,533,"CALNALI, HIDALGO",FELIX DE LA CRUZ CASIMIRO,10,AMECAFE,2012-01-01 00:00:00,2012-09-27,Bourbon,Completed,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10.0,10.0,10.0,7.58,Sample  82.25,16%,3 full defects,None,8 full defects,AMECAFE,365
82.25,Arabica,Juan Luis Alvarado Romero,Guatemala,"SIEMBRAS VISION, S.A. / ING. JORGE BOLAÑOS",4563,ANTIGUA,"SIEMBRAS VISION, S.A.",275,Asociacion Nacional Del Café,2012-01-01 00:00:00,2012-09-19,Bourbon,Completed,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10.0,10.0,10.0,7.33,Sample  82.25,11%,0 full defects,Green,2 full defects,Asociacion Nacional Del Café,365
82.25,Arabica,MANUEL HERRERA JUAREZ,Mexico,FINCA LOS BARREALES,1170,TEOCELO,MANUEL HERRERA JUAREZ,10,AMECAFE,2012-01-01 00:00:00,2012-08-31,Bourbon,Completed,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10.0,10.0,10.0,7.33,Sample  82.25,13%,0 full defects,Green,3 full defects,AMECAFE,365
82.25,Arabica,GUILLERMO ROJAS SALDANA,Mexico,N/A,1250,JUQUILA,GUILLERMO ROJAS SALDAÑA,40,AMECAFE,2012-01-01 00:00:00,2012-08-30,Typica,Completed,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.33,Sample  82.25,12%,0 full defects,Green,13 full defects,AMECAFE,365
82.25,Arabica,Adam Kline,El Salvador,Atlantic Specialty Coffee,N/A,Unknown,N/A,288,Specialty Coffee Association,2012-01-01 00:00:00,2012-08-21,Other,Completed,Washed / Wet,7.75,7.33,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.33,Sample  82.25,0%,2 full defects,Green,5 full defects,Specialty Coffee Association,365
82.25,Arabica,SERGIO DE LA VEQUIA BERNARDI,Mexico,N/A,1100,HUATUSCO,SERGIO DE LA VEQUIA BERNARDI,250,AMECAFE,2012-01-01 00:00:00,2012-07-11,Typica,Completed,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10.0,10.0,10.0,7.42,Sample  82.25,11%,0 full defects,Green,0 full defects,AMECAFE,365
82.25,Arabica,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Mexico,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE SA DE CV,900,CANOAS,COOP,250,AMECAFE,2012-01-01 00:00:00,2012-04-02,Typica,Completed,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.42,Sample  82.25,10%,0 full defects,Green,3 full defects,AMECAFE,365
82.25,Arabica,Exportadora de Cafe Condor S.A,Colombia,Exportadora de Cafe Condor S.A,1750,huila,N/A,250,Almacafé,2012-01-01 00:00:00,2012-02-22,Caturra,Completed,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10.0,10.0,10.0,7.42,Sample  82.25,12%,0 full defects,Green,1 full defects,Almacafé,365
82.25,Arabica,Racafe & Cia S.C.A,Colombia,C.I.Racafe & Cia S.C.A,De 1600 a 1950 msnm,Huila,La Plata,100,Almacafé,2012-01-01 00:00:00,2012-02-09,Caturra,Completed,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10.0,10.0,10.0,7.58,Sample  82.25,11%,0 full defects,Green,0 full defects,Almacafé,365
82.25,Arabica,NUCOFFEE,Brazil,NUCOFFEE,N/A,Unknown,Carmem Lucia Chaves de Brito,84,NUCOFFEE,2012-01-01 00:00:00,2012-01-23,Arusha,Completed,Natural / Dry,7.67,7.58,7.42,7.0,7.5,7.58,10.0,10.0,10.0,7.5,Sample  82.25,12%,0 full defects,Green,1 full defects,NUCOFFEE,365
82.25,Arabica,Racafe & Cia S.C.A,Colombia,N/A,N/A,Cauca,N/A,149,Almacafé,N/A,2011-03-01,Other,Completed,Other,7.17,7.25,7.58,7.25,7.58,7.67,10.0,10.0,10.0,7.75,Sample  82.25,22%,0 full defects,None,2 full defects,Almacafé,365
82.17,Arabica,Ipanema Coffees,Brazil,Ipanema Coffees,934,South of Minas Gerais,Ipanema Agricola,320,Brazil Specialty Coffee Association,2016-01-01 00:00:00,2016-08-16,Bourbon,Completed,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10.0,10.0,10.0,7.5,Sample  82.17,11%,0 full defects,Green,5 full defects,Brazil Specialty Coffee Association,365
82.17,Arabica,Bismarck Castro,Honduras,CIGRAH S.A DE C.V,1500,Comayagua,Nahun Maldonado,200,Instituto Hondureño del Café,2015-01-01 00:00:00,2016-06-09,Caturra,Completed,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.58,Sample  82.17,11%,0 full defects,Bluish-Green,2 full defects,Instituto Hondureño del Café,365
82.17,Arabica,"BENCAFE, S. A.",Nicaragua,"BENEFICIADORA NORTEÑA DE CAFE, S. A. (BENCAFE)",1000,JINOTEGA PROVINCE,MARCIO ALBERTO RIVERA CASTELLON,275,Instituto Hondureño del Café,N/A,2016-03-15,Other,Completed,Other,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,7.5,Sample  82.17,10%,0 full defects,Green,1 full defects,Instituto Hondureño del Café,365
82.17,Arabica,Langiro Farm group,Tanzania,TAWOCA,1500-1800,Ruvuma,Langiro farm group,30,Africa Fine Coffee Association,2015-01-01 00:00:00,2015-11-16,Bourbon,Completed,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,7.5,Sample  82.17,13%,1 full defects,Green,6 full defects,Africa Fine Coffee Association,365
82.17,Arabica,IBERO COFFEE TRADING CO (T) LTD,Tanzania,Ibero Tanzania,1600,Northern,N/A,300,Tanzanian Coffee Board,2015-01-01 00:00:00,2015-10-20,Other,Completed,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10.0,10.0,10.0,7.58,Sample  82.17,12%,0 full defects,Green,1 full defects,Tanzanian Coffee Board,365
82.17,Arabica,Ipanema Coffees,Brazil,Ipanema Coffees,1,South of Minas Gerais,Ipanema Agrícola SA,320,Brazil Specialty Coffee Association,2015-01-01 00:00:00,2015-10-08,Yellow Bourbon,Completed,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10.0,10.0,10.0,7.58,Sample  82.17,0%,0 full defects,Green,1 full defects,Brazil Specialty Coffee Association,365
82.17,Arabica,Doi Tung Development Project,Thailand,Doi Tung Development Project,800++,THAILAND,Doi Tung Development Project,1,Specialty Coffee Association,2014-01-01 00:00:00,2015-06-09,Other,Completed,Washed / Wet,7.42,7.42,7.17,7.75,7.25,7.67,10.0,10.0,10.0,7.5,Sample  82.17,12%,0 full defects,Bluish-Green,0 full defects,Specialty Coffee Association,365
82.17,Arabica,CADEXSA,Honduras,CADEXSA,1350,Marcala,Omar Acosta,275,Instituto Hondureño del Café,2015-01-01 00:00:00,2015-04-15,Catuai,Completed,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10.0,10.0,10.0,7.33,Sample  82.17,11%,0 full defects,Green,2 full defects,Instituto Hondureño del Café,365
82.17,Arabica,EssenceCoffee,Guatemala,Essence Coffee,1500,Atitlan,N/A,250,Blossom Valley International,2014-01-01 00:00:00,2015-03-21,Bourbon,Completed,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.42,Sample  82.17,9%,0 full defects,Blue-Green,4 full defects,Blossom Valley International,365
82.17,Arabica,BOURBON SPECIALTY COFFEES,Brazil,BOURBON SPECIALTY COFFEES,N/A,CERRADO - CAMPOS ALTOS,N/A,300,Brazil Specialty Coffee Association,2014-01-01 00:00:00,2015-01-15,Mundo Novo,Completed,Natural / Dry,7.58,7.5,7.42,7.25,7.5,7.42,10.0,10.0,10.0,7.5,Sample  82.17,12%,0 full defects,Green,1 full defects,Brazil Specialty Coffee Association,365
82.17,Arabica,Tembo Coffee Company Ltd,Tanzania,Tembo Coffee Company Ltd,1700,"Ilomba Vilage, Mbozi",Tembo Coffee Company Ltd,10,Africa Fine Coffee Association,2014-01-01 00:00:00,2014-12-15,Other,Completed,Washed / Wet,7.75,7.42,7.42,7.58,7.33,7.42,10.0,10.0,10.0,7.25,Sample  82.17,12%,0 full defects,Green,1 full defects,Africa Fine Coffee Association,365
82.17,Arabica,J.ANDRADE,Mexico,"CAFÉ ANDRADE, S.A. DE C.V.",1100,COSAUTLAN DE CARVAJAL,JOSÉ LUIS ANDRADE SANDARA,200,AMECAFE,2013-01-01 00:00:00,2014-07-15,Other,Completed,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10.0,10.0,10.0,7.33,Sample  82.17,12%,0 full defects,Green,0 full defects,AMECAFE,365
82.17,Arabica,LUSSO LAB,Mexico,LUSSO COFFEE LAB,"1,200-1,600m","La Concordia, Chiapas",Union Ramal Santa Cruz,2,Specialty Coffee Association,2013-01-01 00:00:00,2014-04-10,Other,Completed,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10.0,10.0,10.0,7.5,Sample  82.17,10%,1 full defects,None,1 full defects,Specialty Coffee Association,365
82.17,Arabica,CQI Taiwan ICP CQI台灣合作夥伴,Taiwan,Blossom Valley宸嶧國際,1200 M,Yunlin 雲林縣石壁,Guo Zhang Sheng 郭章盛,60,Blossom Valley International,2013-01-01 00:00:00,2013-12-26,Typica,Completed,Other,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,7.17,Sample  82.17,11%,0 full defects,Green,0 full defects,Blossom Valley International,365
82.17,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,"RED ON TREE CO., LTD.",800 M,"Dongshan Dist., Tainan City 臺南市東山區",Jufeng-Tseng 曾如楓,80,Specialty Coffee Association,2012-01-01 00:00:00,2013-05-29,Typica,Completed,Washed / Wet,7.67,7.5,7.5,7.17,7.17,7.58,10.0,10.0,10.0,7.58,Sample  82.17,0%,0 full defects,Green,0 full defects,Specialty Coffee Association,365
82.17,Arabica,Exportadora de Cafe Condor S.A,Colombia,Exportadora de Cafe Condor S.A,1750 msnm,huila,N/A,250,Almacafé,2013-01-01 00:00:00,2013-03-20,Caturra,Completed,Washed / Wet,7.33,7.25,7.25,7.58,7.75,7.5,10.0,10.0,10.0,7.5,Sample  82.17,0%,0 full defects,Bluish-Green,1 full defects,Almacafé,365
82.17,Arabica,SAUL M. HERNANDEZ RAMIREZ,Mexico,N/A,1144,SAN BARTOLO TUTOTEPEC,AVILA MARTINEZ ADOLFO,10,AMECAFE,2012-01-01 00:00:00,2012-09-27,Typica,Completed,Washed / Wet,7.5,7.67,7.0,7.5,7.33,7.5,10.0,10.0,10.0,7.67,Sample  82.17,15%,1 full defects,None,9 full defects,AMECAFE,365
82.17,Arabica,The Coffee Source Inc.,Guatemala,The Coffee Source Inc.,1350,Oriente,Several producers,250,Specialty Coffee Association,2012-01-01 00:00:00,2012-08-02,Caturra,Completed,Washed / Wet,7.25,7.75,7.0,7.75,8.17,7.75,10.0,10.0,9.33,7.17,Sample  82.17,12%,0 full defects,None,2 full defects,Specialty Coffee Association,365
82.17,Arabica,SALVADOR CARO CARRION,Mexico,N/A,1000,ALTOTONGA,SALVADOR CARO CARRION,200,AMECAFE,2012-01-01 00:00:00,2012-07-11,Typica,Completed,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10.0,10.0,10.0,7.5,Sample  82.17,12%,0 full defects,Green,4 full defects,AMECAFE,365
82.17,Arabica,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE,Mexico,ORGANIZACIONES DE PRODUCTORES DE CAFE COLIMENSE SA DE CV,1200,COLIMA,"OSCAR TORRES OCHOCA, GENARO MATA CAMBEROS, MANUEL DUARTE MUNGUIA",60,AMECAFE,2012-01-01 00:00:00,2012-07-02,Typica,Completed,Washed / Wet,7.0,7.67,7.5,7.5,7.42,7.5,10.0,10.0,10.0,7.58,Sample  82.17,10%,0 full defects,Green,1 full defects,AMECAFE,365
82.17,Arabica,Exportadora de Cafe Condor S.A,Colombia,N/A,1800 msnm,huila,N/A,250,Almacafé,2010-01-01 00:00:00,2011-02-09,Other,Completed,Other,7.58,7.67,7.42,7.17,7.17,7.75,10.0,10.0,10.0,7.42,Sample  82.17,8%,0 full defects,None,0 full defects,Almacafé,365
82.08,Arabica,SanJava Coffee,Indonesia,PT. Shriya Artha Nusantara,1300,Aceh Gayo,Various Farms,2,Specialty Coffee Association of Indonesia,2017-01-01 00:00:00,2017-08-03,Bourbon,Completed,Washed / Wet,7.5,7.5,7.42,7.42,7.5,7.42,10.0,10.0,10.0,7.33,Sample  82.08,15%,0 full defects,None,3 full defects,Specialty Coffee Association of Indonesia,365
82.08,Arabica,Raúl Vargas,Colombia,SKN CARIBECAFE LTDA,N/A,Huila,N/A,275,Almacafé,2016-01-01 00:00:00,2017-02-20,Caturra,Completed,Washed / Wet,7.75,7.58,7.42,7.67,7.83,7.58,9.33,9.33,10.0,7.58,Sample  82.08,0%,0 full defects,Green,6 full defects,Almacafé,365
82.08,Arabica,Ipanema Coffees,Brazil,Ipanema Coffees,894,South of Minas Gerais,Ipanema Agricola,320,Brazil Specialty Coffee Association,2016-01-01 00:00:00,2016-08-16,Bourbon,Completed,Natural / Dry,7.42,7.58,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.5,Sample  82.08,11%,0 full defects,Green,3 full defects,Brazil Specialty Coffee Association,365
82.08,Arabica,Ipanema Coffees,Brazil,Ipanema Coffees,1,South of Minas Gerais,Ipanema Agrícola SA,320,Brazil Specialty Coffee Association,2015-01-01 00:00:00,2015-10-08,Yellow Bourbon,Completed,Natural / Dry,7.25,7.25,7.58,7.58,7.25,7.92,10.0,10.0,10.0,7.25,Sample  82.08,0%,0 full defects,Green,1 full defects,Brazil Specialty Coffee Association,365
82.08,Arabica,"CAFETALERA INTERNACIONAL CAFINTER, S.A.",Costa Rica,"CAFETALERA INTERNACIONAL CAFINTER, S.A.",1200-1400 MASL,TRES RIOS,JOSE FRANCISCO GONZALEZ,275,Specialty Coffee Association of Costa Rica,2015-01-01 00:00:00,2015-04-10,Caturra,Completed,Washed / Wet,7.75,7.42,7.42,7.25,7.17,7.42,10.0,10.0,10.0,7.67,Sample  82.08,0%,0 full defects,Blue-Green,0 full defects,Specialty Coffee Association of Costa Rica,365
82.08,Arabica,Balam Hinyula,Tanzania,VOLCAFE/TaylorWinch Tanzania Ltd,1500,Kilimanjaro,AMPCG,300,Tanzanian Coffee Board,2014-01-01 00:00:00,2015-03-25,Bourbon,Completed,Washed / Wet,7.42,7.33,7.42,7.42,7.5,7.58,10.0,10.0,10.0,7.42,Sample  82.08,12%,0 full defects,Green,5 full defects,Tanzanian Coffee Board,365
82.08,Arabica,Ngorogoro Convenant Estate,Tanzania,Ngorogoro Convenant Estate,1500 - 1700,Ngorogoro,Ngorogoro Convenant Estate,1,Africa Fine Coffee Association,2014-01-01 00:00:00,2015-01-08,Other,Completed,Washed / Wet,7.42,7.5,7.5,7.33,7.33,7.5,10.0,10.0,10.0,7.5,Sample  82.08,12%,0 full defects,Green,3 full defects,Africa Fine Coffee Association,365
82.08,Arabica,Cafe Politico,Colombia,Cafe Politico,N/A,Unknown,N/A,1,Specialty Coffee Association,2013-01-01 00:00:00,2014-09-12,Other,Completed,Washed / Wet,7.5,7.42,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.25,Sample  82.08,11%,1 full defects,Green,0 full defects,Specialty Coffee Association,365
82.08,Arabica,"CECA, S.A.",Costa Rica,"CECA,S.A.",1.3,Turrialba,Cafetalera Aquiares,150,Specialty Coffee Association of Costa Rica,2013-01-01 00:00:00,2014-03-21,Caturra,Completed,Washed / Wet,7.58,7.33,7.33,7.33,7.5,7.67,10.0,10.0,10.0,7.33,Sample  82.08,11%,0 full defects,Green,2 full defects,Specialty Coffee Association of Costa Rica,365
82.08,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),Kona Pacific Farmers Cooperative,N/A,KONA,N/A,4,Specialty Coffee Association,2012-01-01 00:00:00,2012-11-26,Hawaiian Kona,Completed,Natural / Dry,7.25,7.58,7.58,7.25,7.5,7.42,10.0,10.0,10.0,7.5,Sample  82.08,11%,0 full defects,Bluish-Green,0 full defects,Specialty Coffee Association,365
82.08,Arabica,"El Equimite, Cafetal Biodinámico",Mexico,N/A,1300,COATEPEC,GIBRAN LEONARDO CERVANTES COVARRUBIAS,35,AMECAFE,2012-01-01 00:00:00,2012-09-10,Typica,Completed,Washed / Wet,7.42,7.58,7.5,7.33,7.42,7.42,10.0,10.0,10.0,7.42,Sample  82.08,13%,0 full defects,Green,7 full defects,AMECAFE,365
82.08,Arabica,JULIO PEREZ HERNANDEZ,Mexico,INDIGENAS DE LA SIERRA MADRE DE MOTOZINTLA SAN ISIDRO LABRADOR S. DE S.S.,1800,TAPACHULA,ISMAM SAN ISIDRO LABRADOR S. DE S.S.,250,AMECAFE,2012-01-01 00:00:00,2012-08-30,Typica,Completed,Washed / Wet,7.5,7.42,7.42,7.5,7.25,7.5,10.0,10.0,10.0,7.5,Sample  82.08,13%,3 full defects,Green,13 full defects,AMECAFE,365
82.08,Arabica,ROSA AURORA FALCON FERNANDEZ,Mexico,N/A,1250,COATEPEC,ROSA AURORA FALCON FERNANDEZ,15,AMECAFE,2012-01-01 00:00:00,2012-07-26,Typica,Completed,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10.0,10.0,10.0,7.33,Sample  82.08,11%,0 full defects,Green,11 full defects,AMECAFE,365
82.08,Arabica,Royal Base Corporation,Vietnam,Royal Base Corporation,1040M,Don Duong,"Apollo Co., LTd.",1,Specialty Coffee Association,2012-01-01 00:00:00,2012-07-23,Other,Completed,Natural / Dry,7.67,8.0,7.17,7.08,7.67,7.08,10.0,10.0,10.0,7.42,Sample  82.08,12%,0 full defects,Green,2 full defects,Specialty Coffee Association,365
82.08,Arabica,SERGIO DE LA VEQUIA BERNARDI,Mexico,N/A,1250,HUATUSCO,RAMIRO DE LA VEQUIA BERNARDI,250,AMECAFE,2012-01-01 00:00:00,2012-07-11,Typica,Completed,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10.0,10.0,10.0,7.33,Sample  82.08,11%,0 full defects,Green,1 full defects,AMECAFE,365
82.08,Arabica,Kona Pacific Farmers Cooperative,United States (Hawaii),CQI,N/A,Kona,N/A,10,Specialty Coffee Association,2012-01-01 00:00:00,2012-02-23,Hawaiian Kona,Completed,Washed / Wet,7.33,7.5,7.33,7.58,7.08,7.83,10.0,10.0,10.0,7.42,Sample  82.08,10%,0 full defects,Green,2 full defects,Specialty Coffee Association,365
82.08,Arabica,CARCAFE LTDA CI,Colombia,N/A,1600 msnm,Cauca,Carlos Pechene / Jesús Pechene / Flor Chacón,275,Almacafé,2011-01-01 00:00:00,2011-04-18,Other,Completed,Other,7.67,7.42,7.67,7.33,7.25,7.58,10.0,10.0,10.0,7.17,Sample  82.08,8%,1 full defects,None,5 full defects,Almacafé,365
82.0,Arabica,Bismarck Castro,Honduras,CIGRAH S.A DE C.V,1600,El Paraíso,Santos Fonseca,275,Instituto Hondureño del Café,2017-01-01 00:00:00,2017-06-01,Caturra,Completed,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.42,Sample  82.00,12%,0 full defects,Green,1 full defects,Instituto Hondureño del Café,365
82.0,Arabica,Bismarck Castro,Honduras,CIGRAH S.A DE C.V,1600,Guinope El Paraíso,Santos Fonseca,275,Instituto Hondureño del Café,2016-01-01 00:00:00,2017-04-06,Caturra,Completed,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.5,Sample  82.00,10%,0 full defects,Green,7 full defects,Instituto Hondureño del Café,365
82.0,Arabica,Ipanema Coffees,Brazil,Ipanema Coffees,944,South of Minas Gerais,Ipanema Agricola,230,Brazil Specialty Coffee Association,2016-01-01 00:00:00,2016-08-16,Bourbon,Completed,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10.0,10.0,10.0,7.5,Sample  82.00,11%,0 full defects,Green,3 full defects,Brazil Specialty Coffee Association,365
82.0,Arabica,Didas,Tanzania,TAWOCA,1500-1800,Kilimanjaro,Mr & Mrs Didas Mallya,2,Africa Fine Coffee Association,2015-01-01 00:00:00,2015-11-16,Other,Completed,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.42,Sample  82.00,13%,0 full defects,Green,20 full defects,Africa Fine Coffee Association,365
82.0,Arabica,Minwook Ku,Laos,Kettles Coffee Roasters,1250m,Lao P.D.R.,HanYong Choi,1,Specialty Coffee Institute of Asia,2015-01-01 00:00:00,2015-11-05,Other,Completed,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10.0,10.0,10.0,7.5,Sample  82.00,12%,0 full defects,Blue-Green,0 full defects,Specialty Coffee Institute of Asia,365
82.0,Arabica,Finca Estate,Tanzania,Finca Estate,1300- 1400,Meru,Finca Estate,1,Africa Fine Coffee Association,2014-01-01 00:00:00,2014-12-18,Other,Completed,Washed / Wet,7.42,7.42,7.33,7.58,7.33,7.42,10.0,10.0,10.0,7.5,Sample  82.00,12%,0 full defects,Green,3 full defects,Africa Fine Coffee Association,365
82.0,Arabica,AFCA,Malawi,Mzuzu Coffee Planters Coop Union,2500M,North of Mzuzu,Mzuzu Coffee Coop Union,16,Africa Fine Coffee Association,2014-01-01 00:00:00,2014-10-31,Gesha,Completed,Washed / Wet,7.5,7.42,7.33,7.58,7.33,7.5,10.0,10.0,10.0,7.33,Sample  82.00,13%,0 full defects,Bluish-Green,1 full defects,Africa Fine Coffee Association,365
82.0,Arabica,"Lin, Che-Hao Krude 林哲豪",Taiwan,"RED ON TREE CO., LTD.",600M,"Dongshan Dist., Tainan City 臺南市東山區",Chen Jin Lin 陳金璘,50,Specialty Coffee Association,2013-01-01 00:00:00,2014-07-22,Typica,Completed,Washed / Wet,7.33,7.5,7.17,7.42,7.5,7.33,10.0,10.0,10.0,7.75,Sample  82.00,9%,0 full defects,Green,0 full defects,Specialty Coffee Association,365
82.0,Arabica,Doi Tung Development Project,Thailand,Doi Tung Development Project,800++,Thailand,Doi Tung Development Project,1,Specialty Coffee Association,2013-01-01 00:00:00,2014-06-20,Other,Completed,Washed / Wet,7.58,7.5,7.42,7.42,7.33,7.42,10.0,10.0,10.0,7.33,Sample  82.00,11%,0 full defects,Green,0 full defects,Specialty Coffee Association,365
82.0,Arabica,Eric Thormaehlen,Costa Rica,CORICAFE S.A.,1200-1400,CENTRAL VALLEY - WEST VALLEY,VARIOS,250,Specialty Coffee Association of Costa Rica,2013-01-01 00:00:00,2014-06-09,Catuai,Completed,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10.0,10.0,10.0,7.33,Sample  82.00,10%,0 full defects,Green,4 full defects,Specialty Coffee Association of Costa Rica,365
82.0,Arabica,Beneficio Santa Rosa,Honduras,Beneficio Santa Rosa S.A.,1400 m.s.n.m.,Occidental,BSR,275,Instituto Hondureño del Café,2014-01-01 00:00:00,2014-04-30,Caturra,Completed,Washed / Wet,7.33,7.33,7.33,7.5,7.5,7.83,10.0,10.0,10.0,7.17,Sample  82.00,11%,0 full defects,Green,5 full defects,Instituto Hondureño del Café,365
82.0,Arabica,Racafe & Cia S.C.A,Colombia,Racafe & Cia S.C.A,1800 - 2000,Huila,N/A,250,Almacafé,2013-01-01 00:00:00,2013-09-13,Caturra,Completed,Washed / Wet,7.33,7.33,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.17,Sample  82.00,11%,0 full defects,Green,1 full defects,Almacafé,365
